yr_1,ageGrp_1,value
19,1.LT18,73429392
19,2.GT17.LT45,159878867
19,3.GT44.LT65,83829034
19,4.GT64.LT85,44514779
19,5.GT84,6269017
19,1.LT18,73429392
19,2.GT17.LT45,159878867
19,3.GT44.LT65,83829034
19,4.GT64.LT85,44514779
19,5.GT84,6269017
19,1.LT18,73429392
19,2.GT17.LT45,159878867
19,3.GT44.LT65,83829034
19,4.GT64.LT85,44514779
19,5.GT84,6269017
19,1.LT18,73429392
19,2.GT17.LT45,159878867
19,3.GT44.LT65,83829034
19,4.GT64.LT85,44514779
19,5.GT84,6269017
20,1.LT18,73296738
20,2.GT17.LT45,160262911
20,3.GT44.LT65,83642175
20,4.GT64.LT85,45741001
20,5.GT84,6621816
20,1.LT18,73296738
20,2.GT17.LT45,160262911
20,3.GT44.LT65,83642175
20,4.GT64.LT85,45741001
20,5.GT84,6621816
20,1.LT18,73296738
20,2.GT17.LT45,160262911
20,3.GT44.LT65,83642175
20,4.GT64.LT85,45741001
20,5.GT84,6621816
20,1.LT18,73296738
20,2.GT17.LT45,160262911
20,3.GT44.LT65,83642175
20,4.GT64.LT85,45741001
20,5.GT84,6621816
21,1.LT18,74234075
21,2.GT17.LT45,161370702
21,3.GT44.LT65,84460871
21,4.GT64.LT85,46588833
21,5.GT84,6299788
21,1.LT18,74234075
21,2.GT17.LT45,161370702
21,3.GT44.LT65,84460871
21,4.GT64.LT85,46588833
21,5.GT84,6299788
21,1.LT18,74234075
21,2.GT17.LT45,161370702
21,3.GT44.LT65,84460871
21,4.GT64.LT85,46588833
21,5.GT84,6299788
21,1.LT18,74234075
21,2.GT17.LT45,161370702
21,3.GT44.LT65,84460871
21,4.GT64.LT85,46588833
21,5.GT84,6299788
22,1.LT18,72325602
22,2.GT17.LT45,164767429
22,3.GT44.LT65,82603914
22,4.GT64.LT85,51662372
22,5.GT84,6159943
22,1.LT18,72325602
22,2.GT17.LT45,164767429
22,3.GT44.LT65,82603914
22,4.GT64.LT85,51662372
22,5.GT84,6159943
22,1.LT18,72325602
22,2.GT17.LT45,164767429
22,3.GT44.LT65,82603914
22,4.GT64.LT85,51662372
22,5.GT84,6159943
22,1.LT18,72325602
22,2.GT17.LT45,164767429
22,3.GT44.LT65,82603914
22,4.GT64.LT85,51662372
22,5.GT84,6159943
