"","yrQtr","pedAgeGrp","hover","se","ci_l","ci_u"
"2019.0-4",2019,"0-4",261.7097,119.859745588044,26.7889154513007,496.630484548699
"2019.25.0-4",2019.25,"0-4",274.4274,119.057460680412,41.0790649755994,507.775735024401
"2019.5.0-4",2019.5,"0-4",203.8192,117.282029782279,-26.0493544070213,433.687754407021
"2019.75.0-4",2019.75,"0-4",207.6838,136.916069200848,-60.666764538456,476.034364538456
"2020.0-4",2020,"0-4",299.3777,168.508118990496,-30.8921443239626,629.647544323963
"2020.25.0-4",2020.25,"0-4",109.9939,76.8942009426589,-40.7159644675972,260.703764467597
"2020.5.0-4",2020.5,"0-4",136.5372,80.0718369734328,-20.4007166438909,293.475116643891
"2020.75.0-4",2020.75,"0-4",239.8094,113.199710003353,17.9420453330504,461.67675466695
"2021.0-4",2021,"0-4",384.0663,167.597125737777,55.5819696415259,712.550630358474
"2021.25.0-4",2021.25,"0-4",118.3484,40.8988112565844,38.1882029265932,198.508597073407
"2021.5.0-4",2021.5,"0-4",100.8474,75.6577022016926,-47.4389714683742,249.133771468374
"2021.75.0-4",2021.75,"0-4",301.2709,131.333666070666,43.8616445438853,558.680155456115
"2022.0-4",2022,"0-4",458.8962,165.559710925985,134.405129294208,783.387270705792
"2022.25.0-4",2022.25,"0-4",263.4072,131.105152147268,6.44582360371061,520.368576396289
"2022.5.0-4",2022.5,"0-4",100.2757,66.4581117477661,-29.9798055061598,230.53120550616
"2022.75.0-4",2022.75,"0-4",365.5706,159.42664232715,53.1001228626362,678.041077137364
"2019.5-9",2019,"5-9",2144.188,607.168065402325,954.160459248584,3334.21554075142
"2019.25.5-9",2019.25,"5-9",1270.0279,330.075714886297,623.091386651547,1916.96441334845
"2019.5.5-9",2019.5,"5-9",1935.9728,417.435329057683,1117.81458917232,2754.13101082768
"2019.75.5-9",2019.75,"5-9",1917.8907,734.279607903896,478.729113926171,3357.05228607383
"2020.5-9",2020,"5-9",3140.6777,770.182686329208,1631.14737327844,4650.20802672156
"2020.25.5-9",2020.25,"5-9",2276.97,388.566330201341,1515.39398720047,3038.54601279953
